fn,label,Sample_Length,Noise_fn,Noise_Amplitude,dB_Noise_SPL,Clip_Group,Prob_Accuracy,Audio_amplitude,dB_Audio_SPL
PadSampleAudio/IV38R7F.wav,akawuka,54243,Noise_clip/IV38R7F.wav,0.008995763,35,best,1.0,0.721681118,73
PadSampleAudio/KM4SKWT.wav,banana,55261,Noise_clip/KM4SKWT.wav,0.356833845,67,bad,0.2,0.966937304,75
PadSampleAudio/F5POSU9.wav,obulwadde,55069,Noise_clip/F5POSU9.wav,0.782889843,74,bad,0.2,1.052848339,76
PadSampleAudio/MMVDXG2.wav,nnyaanya,54243,Noise_clip/MMVDXG2.wav,0.01566687,40,good,0.7,0.442655295,69
PadSampleAudio/9TVM96F.wav,pampu,55566,Noise_clip/9TVM96F.wav,0.743068457,73,bad,0.2,0.765558958,73
PadSampleAudio/8GPEC27.wav,obutunda,54243,Noise_clip/8GPEC27.wav,0.014201872,39,good,0.7,0.6881190540000001,73
PadSampleAudio/39DZWLV.wav,plantation,54243,Noise_clip/39DZWLV.wav,0.033620209,46,good,0.7,0.291473508,65
PadSampleAudio/D7KFQ32.wav,ensujju,54243,Noise_clip/D7KFQ32.wav,0.015451196,40,good,0.7,0.585987151,71
PadSampleAudio/B6NYZM0.wav,okulimibwa,54243,Noise_clip/B6NYZM0.wav,0.016598811,40,good,0.7,0.27546355100000003,65
PadSampleAudio/41RRFRN.wav,mpeke,54243,Noise_clip/41RRFRN.wav,0.295232654,65,bad,0.2,0.776090741,74
PadSampleAudio/DL9EIZ3.wav,okusaasaana,54243,Noise_clip/DL9EIZ3.wav,0.01056218,36,best,1.0,0.804054499,74
PadSampleAudio/Z34VM4O.wav,ebigimusa,54243,Noise_clip/Z34VM4O.wav,0.010344614,36,best,1.0,0.831842065,74
PadSampleAudio/LZPBPTT.wav,ekikolo,54243,Noise_clip/LZPBPTT.wav,0.0,-63,best,1.0,0.417522967,68
PadSampleAudio/GMO6V1D.wav,farm,54243,Noise_clip/GMO6V1D.wav,0.048070498,49,good,0.7,0.748946667,73
PadSampleAudio/CRW4PWN.wav,kisaanyi,54243,Noise_clip/CRW4PWN.wav,0.0015417520000000002,20,best,1.0,0.031576045,46
PadSampleAudio/ZYRVWU7.wav,kikajjo,54243,Noise_clip/ZYRVWU7.wav,0.002708143,24,best,1.0,0.862327635,74
PadSampleAudio/TO1NWA2.wav,ekisaanyi,54243,Noise_clip/TO1NWA2.wav,0.00311492,26,best,1.0,0.046238877000000005,49
PadSampleAudio/AN3RKKH.wav,ndwadde,54243,Noise_clip/AN3RKKH.wav,0.00040425,8,best,1.0,0.745772243,73
PadSampleAudio/IT0E3VU.wav,omusiri,54243,Noise_clip/IT0E3VU.wav,0.029727805,45,good,0.7,0.5361799,70
PadSampleAudio/PWKKJQN.wav,butterfly,54243,Noise_clip/PWKKJQN.wav,0.212462395,62,bad,0.2,0.795258701,74
PadSampleAudio/9S5G6ZN.wav,munyeera,54243,Noise_clip/9S5G6ZN.wav,0.03421827,46,good,0.7,0.034578353,47
PadSampleAudio/59JEWXX.wav,eggobe,54243,Noise_clip/59JEWXX.wav,0.002356322,23,best,1.0,0.759229183,73
PadSampleAudio/1CJSWB0.wav,ebiwojjolo,55325,Noise_clip/1CJSWB0.wav,0.562682927,71,bad,0.2,0.85844785,74
PadSampleAudio/4TJ10TU.wav,ebisoolisooli,54243,Noise_clip/4TJ10TU.wav,0.0007029439999999999,13,best,1.0,0.002779325,25
PadSampleAudio/WFUTBWB.wav,namuginga,54243,Noise_clip/WFUTBWB.wav,0.000128765,-1,best,1.0,0.279753029,65
PadSampleAudio/9EOPAU9.wav,okugimusa,54243,Noise_clip/9EOPAU9.wav,0.000579237,11,best,1.0,0.032313295,46
PadSampleAudio/K6XKYKL.wav,maize streak virus,54243,Noise_clip/K6XKYKL.wav,0.072478078,53,bad,0.2,0.831643403,74
PadSampleAudio/CUKHLUB.wav,ekirime,54243,Noise_clip/CUKHLUB.wav,0.019897182,42,good,0.7,0.405845642,68
PadSampleAudio/WODBXT5.wav,miceere,55325,Noise_clip/WODBXT5.wav,0.958126247,75,bad,0.2,0.975295782,76
PadSampleAudio/LOMJ9OZ.wav,sikungula,54243,Noise_clip/LOMJ9OZ.wav,0.152139947,59,bad,0.2,0.198154613,62
PadSampleAudio/JG2QOA0.wav,lumonde,54243,Noise_clip/JG2QOA0.wav,0.000341146,6,best,1.0,0.832620919,74
PadSampleAudio/O6Z1VP2.wav,okukungula,54243,Noise_clip/O6Z1VP2.wav,0.009598574,35,best,1.0,0.495032281,70
PadSampleAudio/LO7X7MU.wav,cassava,55325,Noise_clip/LO7X7MU.wav,0.886157215,75,bad,0.2,0.915456772,75
PadSampleAudio/PAS7GSH.wav,ebirime,54243,Noise_clip/PAS7GSH.wav,0.04441645,49,good,0.7,0.441953927,69
PadSampleAudio/RV5Z1ER.wav,ebijanjaalo,22491,Noise_clip/RV5Z1ER.wav,0.868671656,75,bad,0.2,0.868671656,75
PadSampleAudio/OUG88S4.wav,weeding,54243,Noise_clip/OUG88S4.wav,0.017193776,40,good,0.7,0.523848832,70
PadSampleAudio/CAUMRQU.wav,garden,55298,Noise_clip/CAUMRQU.wav,0.123175681,58,bad,0.2,0.624694109,72
PadSampleAudio/QJF77PW.wav,lumonde,54243,Noise_clip/QJF77PW.wav,0.007736376999999998,34,best,1.0,0.741314232,73
PadSampleAudio/52ZK2IP.wav,drought,54243,Noise_clip/52ZK2IP.wav,0.01655831,40,good,0.7,0.782913208,74
PadSampleAudio/D1T7CRG.wav,leaves,54243,Noise_clip/D1T7CRG.wav,0.000149095,0,best,1.0,0.732681155,73
PadSampleAudio/2X1D30I.wav,pampu,54243,Noise_clip/2X1D30I.wav,0.023445506,43,good,0.7,0.641484916,72
PadSampleAudio/15RROXE.wav,insect,55298,Noise_clip/15RROXE.wav,0.112281322,57,bad,0.2,0.413149506,68
PadSampleAudio/0JPWI1E.wav,akatungulu,54243,Noise_clip/0JPWI1E.wav,0.059079822,51,bad,0.2,0.663023829,72
PadSampleAudio/E06E7N0.wav,seed,54243,Noise_clip/E06E7N0.wav,0.019681145,42,good,0.7,0.429844171,68
PadSampleAudio/EECW52A.wav,okukungula,54243,Noise_clip/EECW52A.wav,0.003449133,27,best,1.0,0.268364757,64
PadSampleAudio/PSC1KUL.wav,pepper,54243,Noise_clip/PSC1KUL.wav,0.000269176,4,best,1.0,0.502921104,70
PadSampleAudio/L7CL0GW.wav,matooke seedlings,55261,Noise_clip/L7CL0GW.wav,0.541494548,70,bad,0.2,0.541494548,70
PadSampleAudio/XJ5PK8P.wav,drought,54243,Noise_clip/XJ5PK8P.wav,0.016567105,40,good,0.7,0.697820663,73
PadSampleAudio/PHB3GGE.wav,harvesting,54243,Noise_clip/PHB3GGE.wav,0.122679904,58,bad,0.2,0.946254253,75
PadSampleAudio/U7K4BJ8.wav,harvesting,54243,Noise_clip/U7K4BJ8.wav,0.028593943,45,good,0.7,0.396450371,68
PadSampleAudio/S9WFEKA.wav,medicine,54243,Noise_clip/S9WFEKA.wav,0.001205998,17,best,1.0,0.75610745,73
PadSampleAudio/ESE6A2W.wav,nursery bed,54243,Noise_clip/ESE6A2W.wav,0.008205602,34,best,1.0,0.28270027,65
PadSampleAudio/516YFMT.wav,ekirime,54243,Noise_clip/516YFMT.wav,0.007651117,33,best,1.0,0.499308139,70
PadSampleAudio/5FD7H7O.wav,mucungwa,54243,Noise_clip/5FD7H7O.wav,0.017825687,41,good,0.7,0.740824223,73
PadSampleAudio/W32X24D.wav,garden,54243,Noise_clip/W32X24D.wav,0.025199521000000003,44,good,0.7,0.598162353,71
PadSampleAudio/IP2Q0Q6.wav,endwadde,54243,Noise_clip/IP2Q0Q6.wav,0.002783537,25,best,1.0,0.824424088,74
PadSampleAudio/FPQ3BEF.wav,pawpaw,55325,Noise_clip/FPQ3BEF.wav,0.265708804,64,bad,0.2,0.840100706,74
PadSampleAudio/ONV3TCL.wav,enkota,54243,Noise_clip/ONV3TCL.wav,0.0,-63,best,1.0,0.639767587,72
PadSampleAudio/LRU8UT6.wav,ensiringanyi,54243,Noise_clip/LRU8UT6.wav,0.000182651,1,best,1.0,0.826393127,74
PadSampleAudio/UPKM0ZS.wav,kassooli,54243,Noise_clip/UPKM0ZS.wav,0.03364807,46,good,0.7,0.7159562709999999,73
PadSampleAudio/VQAEX9M.wav,okufuuyira,54243,Noise_clip/VQAEX9M.wav,0.729402542,73,bad,0.2,0.729402542,73
PadSampleAudio/R6YTO94.wav,akawuka,54243,Noise_clip/R6YTO94.wav,0.046586476,49,good,0.7,0.681944549,72
PadSampleAudio/4QAYEB3.wav,caterpillars,54243,Noise_clip/4QAYEB3.wav,0.000227563,3,best,1.0,0.837240338,74
PadSampleAudio/HJBUEAG.wav,ekijanjaalo,54243,Noise_clip/HJBUEAG.wav,0.014330684,39,good,0.7,0.430262476,68
PadSampleAudio/RCML7GM.wav,okukkoola,29106,Noise_clip/RCML7GM.wav,0.060556866,51,bad,0.2,0.640873432,72
PadSampleAudio/HWJZ0TJ.wav,crop,54243,Noise_clip/HWJZ0TJ.wav,0.204980493,62,bad,0.2,0.761218607,73
PadSampleAudio/HXAXGPN.wav,okulima,54243,Noise_clip/HXAXGPN.wav,0.072935261,53,bad,0.2,0.98238492,76
PadSampleAudio/5GL0GYL.wav,ebigimusa,55325,Noise_clip/5GL0GYL.wav,0.416654587,68,bad,0.2,1.2101873159999998,77
PadSampleAudio/BF2ME8D.wav,endagala,54243,Noise_clip/BF2ME8D.wav,0.036668595,47,good,0.7,0.683961809,72
PadSampleAudio/CSBBLYY.wav,kaamulali,54243,Noise_clip/CSBBLYY.wav,0.000267115,4,best,1.0,0.742071092,73
PadSampleAudio/AE3WTTT.wav,akawuka,55133,Noise_clip/AE3WTTT.wav,0.640681088,72,bad,0.2,0.88690865,75
PadSampleAudio/BZWU00G.wav,akatungulu,54243,Noise_clip/BZWU00G.wav,0.001759396,21,best,1.0,0.632692099,72
PadSampleAudio/HKMM9N9.wav,ennima,54243,Noise_clip/HKMM9N9.wav,0.425575316,68,bad,0.2,0.73983252,73
PadSampleAudio/73X4OG5.wav,omuceere,54243,Noise_clip/73X4OG5.wav,0.012346411000000002,38,bad,0.2,0.694223464,73
PadSampleAudio/JENQQSI.wav,micungwa,54243,Noise_clip/JENQQSI.wav,0.00137373,19,best,1.0,0.866209626,75
PadSampleAudio/DMADHFN.wav,ebisaanyi,54243,Noise_clip/DMADHFN.wav,0.000249999,4,best,1.0,0.784635842,74
PadSampleAudio/MQKXCIO.wav,ebijanjaalo,54243,Noise_clip/MQKXCIO.wav,0.572616994,71,bad,0.2,0.7683250309999999,73
PadSampleAudio/UKO2Z70.wav,okukkoola,54243,Noise_clip/UKO2Z70.wav,0.018715745,41,good,0.7,0.462235779,69
PadSampleAudio/JFN6V9N.wav,plant,54243,Noise_clip/JFN6V9N.wav,0.000402945,8,best,1.0,0.778165102,74
PadSampleAudio/Q0505FK.wav,eddagala,55069,Noise_clip/Q0505FK.wav,0.574716985,71,bad,0.2,1.015743017,76
PadSampleAudio/7VSSFC1.wav,ennimiro,54243,Noise_clip/7VSSFC1.wav,0.0,-63,best,1.0,0.11987754,57
PadSampleAudio/0MMTW6K.wav,amakoola,54243,Noise_clip/0MMTW6K.wav,0.25770682100000003,64,bad,0.2,0.748121977,73
PadSampleAudio/M88EJCG.wav,eddagala,54243,Noise_clip/M88EJCG.wav,0.000397085,8,best,1.0,0.038723875,48
PadSampleAudio/W4P7MQM.wav,ebiwuka,54243,Noise_clip/W4P7MQM.wav,0.00063707,12,best,1.0,0.042829387,48
PadSampleAudio/5HD4GTG.wav,okusaasaana,54243,Noise_clip/5HD4GTG.wav,0.001287966,18,best,1.0,0.05538458,51
PadSampleAudio/ZGWTCNG.wav,ekigimusa,55133,Noise_clip/ZGWTCNG.wav,0.300890148,65,bad,0.2,0.994328916,76
PadSampleAudio/FXIXWXE.wav,leaves,54243,Noise_clip/FXIXWXE.wav,0.000370989,7,best,1.0,0.761080801,73
PadSampleAudio/VDRMW9E.wav,munyeera,54243,Noise_clip/VDRMW9E.wav,0.000934714,15,best,1.0,0.039111521,48
PadSampleAudio/XU04GSG.wav,bibala,54243,Noise_clip/XU04GSG.wav,0.00255029,24,best,1.0,0.477671832,69
PadSampleAudio/2RE9IQI.wav,omusiri,54243,Noise_clip/2RE9IQI.wav,7.08e-05,-6,best,1.0,0.395919651,68
PadSampleAudio/H583ESL.wav,beans,55298,Noise_clip/H583ESL.wav,0.16206865,60,bad,0.2,0.539561749,70
PadSampleAudio/XOP2MPK.wav,ebisoolisooli,54243,Noise_clip/XOP2MPK.wav,0.710011542,73,bad,0.2,0.710011542,73
PadSampleAudio/XHJ2R2K.wav,insect,54243,Noise_clip/XHJ2R2K.wav,0.00976202,36,best,1.0,0.7318586109999999,73
PadSampleAudio/G2CGIVF.wav,nnimiro,54243,Noise_clip/G2CGIVF.wav,0.005628979,31,best,1.0,0.532615542,70
PadSampleAudio/LTLN0PE.wav,ebiwojjolo,55261,Noise_clip/LTLN0PE.wav,0.266654223,64,bad,0.2,0.884459138,75
PadSampleAudio/5885O6U.wav,ebinyebwa,55261,Noise_clip/5885O6U.wav,0.7374480959999999,73,bad,0.2,0.898893535,75
PadSampleAudio/ARDA2MU.wav,passion fruit,55325,Noise_clip/ARDA2MU.wav,0.77184391,74,bad,0.2,0.946269214,75
PadSampleAudio/GEUB5I5.wav,leaves,54243,Noise_clip/GEUB5I5.wav,0.028776789,45,good,0.7,0.621326566,72
PadSampleAudio/TGZC27X.wav,Spinach,55325,Noise_clip/TGZC27X.wav,0.330657959,66,bad,0.2,0.8850577470000001,75
PadSampleAudio/LU7Q7UE.wav,okufuuyira,54243,Noise_clip/LU7Q7UE.wav,0.001130624,17,best,1.0,0.027251206,44
PadSampleAudio/QAZBGZZ.wav,okuzifuuyira,54243,Noise_clip/QAZBGZZ.wav,0.000164053,0,best,1.0,0.486344635,70
PadSampleAudio/B8SGZVT.wav,ndwadde,54243,Noise_clip/B8SGZVT.wav,0.0014226120000000002,19,best,1.0,0.034437831,47
PadSampleAudio/S8HWJ63.wav,ekirwadde,54243,Noise_clip/S8HWJ63.wav,0.003536605,27,best,1.0,0.879139483,75
PadSampleAudio/TESJUNV.wav,okufuuyira,54243,Noise_clip/TESJUNV.wav,0.002167709,22,best,1.0,0.835008144,74
PadSampleAudio/3V2POX1.wav,nakavundira,54243,Noise_clip/3V2POX1.wav,0.015298394,39,good,0.7,0.903890431,75
PadSampleAudio/0ITMM15.wav,nfukirira,54243,Noise_clip/0ITMM15.wav,0.717156708,73,bad,0.2,0.769294858,73
PadSampleAudio/EOGW74M.wav,onion,55261,Noise_clip/EOGW74M.wav,0.35570240000000003,67,bad,0.2,0.9241575,75
PadSampleAudio/WMK1ZNX.wav,ddagala,55261,Noise_clip/WMK1ZNX.wav,0.7672211529999999,73,bad,0.2,0.979436398,76
PadSampleAudio/WE2RSBV.wav,ebiwuka,54243,Noise_clip/WE2RSBV.wav,0.001827502,21,best,1.0,0.7629386779999999,73
PadSampleAudio/X0226XZ.wav,muwogo,54243,Noise_clip/X0226XZ.wav,0.001403824,19,best,1.0,0.7185448409999999,73
PadSampleAudio/43KVSPP.wav,irrigate,54243,Noise_clip/43KVSPP.wav,0.000241088,3,best,1.0,0.7282974720000001,73
PadSampleAudio/J2OSRQ2.wav,ebigimusa,54243,Noise_clip/J2OSRQ2.wav,0.002017604,22,best,1.0,0.85453409,74
PadSampleAudio/3R34G35.wav,akasaanyi,54243,Noise_clip/3R34G35.wav,0.001008958,16,best,1.0,0.030512845,45
PadSampleAudio/5U6M5S9.wav,ekikajjo,54243,Noise_clip/5U6M5S9.wav,0.015387304,40,good,0.7,0.063366063,52
PadSampleAudio/36IRGL7.wav,emmwanyi,54243,Noise_clip/36IRGL7.wav,0.0,-63,best,1.0,0.348724186,67
PadSampleAudio/CVSSP9K.wav,ekiwojjolo,54243,Noise_clip/CVSSP9K.wav,0.000178678,1,best,1.0,0.776555181,74
PadSampleAudio/WGITQJ2.wav,orange,55325,Noise_clip/WGITQJ2.wav,0.334253132,66,bad,0.2,0.904065788,75
PadSampleAudio/DUJQ0R5.wav,ebibala,54243,Noise_clip/DUJQ0R5.wav,0.021745669,43,good,0.7,0.263066113,64
PadSampleAudio/K86X5P4.wav,sikungula,54243,Noise_clip/K86X5P4.wav,0.014180032,39,good,0.7,0.458797336,69
PadSampleAudio/SEIYX2K.wav,weeding,54243,Noise_clip/SEIYX2K.wav,0.024799746,44,good,0.7,0.816653967,74
PadSampleAudio/KIYZFMO.wav,ebyobulimi,54243,Noise_clip/KIYZFMO.wav,0.019303998,41,good,0.7,0.441542774,69
PadSampleAudio/56GCZH4.wav,ensuku,54243,Noise_clip/56GCZH4.wav,0.004387324000000001,29,best,1.0,0.511161804,70
PadSampleAudio/BGY6RUV.wav,ebibala,54243,Noise_clip/BGY6RUV.wav,0.019251786,41,good,0.7,0.517926812,70
PadSampleAudio/YIXO617.wav,farmer,54243,Noise_clip/YIXO617.wav,0.032252561,46,good,0.7,0.76848197,73
PadSampleAudio/JP5G7LP.wav,micungwa,54243,Noise_clip/JP5G7LP.wav,0.030133493,45,good,0.7,0.644844294,72
PadSampleAudio/XUE94T6.wav,muwogo,54243,Noise_clip/XUE94T6.wav,0.262613088,64,bad,0.2,0.800475657,74
PadSampleAudio/6GUGNOT.wav,spray,54243,Noise_clip/6GUGNOT.wav,0.000252411,4,best,1.0,0.78214258,74
PadSampleAudio/D5O4RJ2.wav,plant,54243,Noise_clip/D5O4RJ2.wav,0.008168073,34,best,1.0,0.811325073,74
PadSampleAudio/GFVB8TT.wav,ekikajjo,55566,Noise_clip/GFVB8TT.wav,0.028333656,45,good,0.7,0.634750605,72
PadSampleAudio/Q2AAWXA.wav,ebigimusa,55325,Noise_clip/Q2AAWXA.wav,0.83013612,74,bad,0.2,0.967727363,75
PadSampleAudio/JCFO9CC.wav,pepper,55261,Noise_clip/JCFO9CC.wav,0.47349304,69,bad,0.2,0.912462354,75
PadSampleAudio/NF4F309.wav,ekijanjaalo,54243,Noise_clip/NF4F309.wav,0.000500765,10,best,1.0,0.823067784,74
PadSampleAudio/XAKV4KX.wav,weeding,54243,Noise_clip/XAKV4KX.wav,0.000219983,3,best,1.0,0.7809983490000001,74
PadSampleAudio/YHTPJGB.wav,obumonde,54243,Noise_clip/YHTPJGB.wav,0.011175959,37,best,1.0,0.748989165,73
PadSampleAudio/U4FGLKI.wav,nnasale beedi,54243,Noise_clip/U4FGLKI.wav,0.0,-63,best,1.0,0.23712635,63
PadSampleAudio/REHO3DB.wav,kaamulali,54243,Noise_clip/REHO3DB.wav,0.000155507,0,best,1.0,0.763337672,73
PadSampleAudio/SFWD9U7.wav,ekikajjo,54243,Noise_clip/SFWD9U7.wav,0.0,-63,best,1.0,0.461563379,69
PadSampleAudio/OQWUZJZ.wav,abalimi,54243,Noise_clip/OQWUZJZ.wav,0.011185002,37,best,1.0,0.416355371,68
PadSampleAudio/0WYNJTG.wav,garden,54243,Noise_clip/0WYNJTG.wav,0.016082572,40,good,0.7,0.645743906,72
PadSampleAudio/ZF1Q7FF.wav,okusaasaanya,54243,Noise_clip/ZF1Q7FF.wav,0.000515438,10,best,1.0,0.050038457,50
PadSampleAudio/NNMPTHF.wav,doodo,54243,Noise_clip/NNMPTHF.wav,0.001181395,17,best,1.0,0.7747925520000001,74
PadSampleAudio/I71OMMN.wav,nfukirira,54243,Noise_clip/I71OMMN.wav,0.33089903,66,bad,0.2,0.33089903,66
PadSampleAudio/3WA0VR8.wav,enva endiirwa,54243,Noise_clip/3WA0VR8.wav,0.000801585,14,best,1.0,0.8725371359999999,75
PadSampleAudio/4TVG9NS.wav,weeding,54243,Noise_clip/4TVG9NS.wav,0.018033728,41,good,0.7,0.569790244,71
PadSampleAudio/RINOGBM.wav,ebikolo,54243,Noise_clip/RINOGBM.wav,0.038379926,47,good,0.7,0.545782685,71
PadSampleAudio/5FRZSKU.wav,endwadde,54243,Noise_clip/5FRZSKU.wav,0.002473281,24,best,1.0,0.7432324290000001,73
PadSampleAudio/NO72ENE.wav,obusaanyi,54243,Noise_clip/NO72ENE.wav,0.001284135,18,best,1.0,0.039181046,48
PadSampleAudio/TFZ7X7S.wav,omulimisa,54243,Noise_clip/TFZ7X7S.wav,0.040079165,48,good,0.7,0.8599329590000001,74
